TVBS频道,#genre#  
 
 

其他电视台,#genre#  
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
公视,http://194.87.101.118/live.m3u8?c=8


非凡新闻,#genre# 
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
非凡新聞,rtmp://f13h.mine.nu/sat/tv581
非凡新聞,https://stream1.freetv.fun/fei-fan-xin-wen-2.ctv

华视新闻,#genre#  
华视新闻,http://37.27.111.214:8080/live/8/hls.m3u8

梨园频道,#genre#  
梨园频道,http://angtv.cc/jd/gdlz.php?id=lypd
梨园频道,http://121.24.99.16:8090/hls/45/index.m3u8
梨园频道,http://39.88.44.216:3333/udp/239.253.254.139:8000
河南戏剧,http://ik6.iptv8.net:8888/rtp/225.1.4.99:1128

凤凰资讯,#genre#  
凤凰资讯,http://wouu.net:9977/rtp/239.93.0.118:2191?Cf=cfss.cc$LR?IPV4『线路55』
凤凰资讯,http://122.224.232.226:8888/udp/233.50.200.192:5140$LR?IPV4『线路71』
凤凰资讯,http://tv.sd.cn/sichuan?id=239.93.1.4:2191$LR?IPV4『线路79』
凤凰资讯,http://s.cdhongyuan.cn:4022/udp/239.93.1.4:2191$LR?IPV4『线路87』
凤凰资讯,http://s.cdhongyuan.cn:4022/udp/239.93.0.118:2191$LR?IPV4『线路109』
凤凰资讯,http://www.372583307.top:4022/udp/233.50.200.192:5140

凤凰中文,#genre#  

凤凰中文,http://ayolee.com:5253/udp/239.93.0.162:2192$LR?IPV4『线路43』
凤凰中文,http://wouu.net:9977/rtp/239.93.0.162:2192?Cf=cfss.cc$LR?IPV4『线路55』
凤凰中文,http://wouu.net:9977/udp/239.93.0.162:2192$LR?IPV4『线路66』
凤凰中文,http://s.cdhongyuan.cn:4022/udp/239.93.0.162:2192$LR?IPV4『线路89』
凤凰中文,http://tv.sd.cn/sichuan?id=239.93.0.162:2192$LR?IPV4『线路93』
凤凰中文,http://122.246.150.139:9999/udp/233.50.200.191:5140$LR?IPV4『线路116』
 

美国之音,#genre#  
美国之音,https://voa-ingest.akamaized.net/hls/live/2033878/tvmc08/playlist.m3u8?adapt=0&br=audio
美国之音,http://37.27.111.214:8080/live/45/hls.m3u8
 

美国之音广播,#genre#  
美国之音广播,https://voa-ingest.akamaized.net/hls/live/2033876/tvmc07/playlist.m3u8
美国之音广播,https://voa-ingest.akamaized.net/dash/live/2035109-b/151_124L/manifest.mpd
美国之音广播,https://voa-ingest.akamaized.net/hls/live/2035206/151_124L/playlist.m3u8
美国之音广播,http://stream.radiojar.com/7thwu53r92quv?adapt=0&br=audio


财富天下,#genre#  
财富天下,http://123.118.107.183:4022/rtp/239.3.1.53:9136
财富天下,http://222.129.138.100:4088/rtp/239.3.1.53:9136
财富天下,http://115.171.80.38:8888/udp/225.1.8.165:9136
财富天下,http://114.243.105.112:8888/rtp/239.3.1.53:9136
财富天下,http://114.246.99.188:8012/rtp/239.3.1.53:9136
财富天下,http://114.254.138.77:3527/rtp/239.3.1.53:9136
财富天下,http://114.249.227.137:8182/rtp/239.3.1.53:9136
财富天下,http://123.120.8.52:4022/rtp/239.3.1.53:9136
财富天下,http://123.113.249.203:8888/rtp/239.3.1.53:9136

第一财经,#genre# 
